"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964474";"1-1985807";"dte_retirada_suspensiva_tgov";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"964474";"1-1985807";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"964474";"1-1985807";"fase_atual_calc";"SUSPENSIVA";"SUSPENSIVA RETIRADA"
"alterado";"dados_e_derivados";"derivado_tempo";"964474";"1-1985807";"urgencia_suspensiva_calc";"Próximos 30 dias";""
"alterado";"dados_e_derivados";"dados_origem";"964964";"1-1990437";"dte_retirada_suspensiva_tgov";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"964964";"1-1990437";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"964964";"1-1990437";"fase_atual_calc";"SUSPENSIVA";"SUSPENSIVA RETIRADA"
"alterado";"dados_e_derivados";"derivado_tempo";"964964";"1-1990437";"urgencia_suspensiva_calc";"Próximos 30 dias";""
"alterado";"dados_e_derivados";"dados_origem";"966261";"1-1991460";"dte_homologacao_licitacao_tgov";"2026-05-01";"2026-04-24"
"alterado";"dados_e_derivados";"derivado_regra";"966261";"1-1991460";"ultima_data_relevante_calc";"2026-05-01";"2026-04-24"
"alterado";"dados_e_derivados";"derivado_regra";"966261";"1-1991460";"dias_publicacao_ate_homologacao_calc";"88";"81"
"alterado";"dados";"dados_origem";"967100";"1-1991714";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"967100";"1-1991714";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"dados_e_derivados";"dados_origem";"967595";"1-1992020";"dte_homologacao_licitacao_tgov";"";"2025-09-16"
"alterado";"dados_e_derivados";"derivado_regra";"967595";"1-1992020";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"967595";"1-1992020";"ultima_data_relevante_calc";"2025-05-28";"2025-09-16"
"alterado";"dados_e_derivados";"derivado_regra";"967595";"1-1992020";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"dados_origem";"967612";"1-1989605";"dte_publicacao_licitacao_tgov";"2026-03-31";""
"alterado";"dados_e_derivados";"dados_origem";"967612";"1-1989605";"dte_homologacao_licitacao_tgov";"2026-03-31";""
"alterado";"dados_e_derivados";"derivado_regra";"967612";"1-1989605";"flag_publicacao_licitacao_calc";"SIM";"NAO"
"alterado";"dados_e_derivados";"derivado_regra";"967612";"1-1989605";"flag_homologacao_licitacao_calc";"SIM";"NAO"
"alterado";"dados_e_derivados";"derivado_regra";"967612";"1-1989605";"ultima_data_relevante_calc";"2026-03-31";"2025-05-06"
"alterado";"dados_e_derivados";"derivado_regra";"967612";"1-1989605";"fase_atual_calc";"HOMOLOGACAO";"LAE"
"alterado";"dados_e_derivados";"derivado_regra";"967612";"1-1989605";"dias_ate_publicacao_calc";"329";""
"alterado";"dados_e_derivados";"derivado_regra";"967612";"1-1989605";"dias_publicacao_ate_homologacao_calc";"0";""
"alterado";"dados_e_derivados";"dados_origem";"968207";"1-2013328";"dte_retirada_suspensiva_tgov";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"968207";"1-2013328";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_tempo";"968207";"1-2013328";"urgencia_suspensiva_calc";"Próximos 30 dias";""
"alterado";"dados_e_derivados";"dados_origem";"968211";"1-2015496";"dte_retirada_suspensiva_tgov";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"968211";"1-2015496";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_tempo";"968211";"1-2015496";"urgencia_suspensiva_calc";"Próximos 30 dias";""
"alterado";"dados_e_derivados";"dados_origem";"968265";"1-2012515";"dte_retirada_suspensiva_tgov";"";"2026-04-27"
