"tipo_alteracao";"categoria_alteracao";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"derivados_tempo";"960414";"1-1965594";"ultima_data_relevante";"2024-11-14";"2024-12-12"
"alterado";"derivados_tempo";"963314";"1-1994107";"ultima_data_relevante";"2025-04-15";"2025-06-03"
"alterado";"derivados_tempo";"964472";"1-1990220";"ultima_data_relevante";"2025-11-13";"2026-03-20"
"alterado";"derivados_tempo";"964512";"1-1985478";"ultima_data_relevante";"2025-08-25";"2025-12-11"
"alterado";"derivados_tempo";"964521";"1-1988029";"ultima_data_relevante";"2024-12-01";"2025-04-10"
"alterado";"derivados_tempo";"964708";"1-1990246";"ultima_data_relevante";"2025-09-12";"2025-10-03"
"alterado";"derivados_tempo";"964826";"1-1988728";"ultima_data_relevante";"2022-06-06";"2025-03-13"
"alterado";"derivados_tempo";"964842";"1-1991544";"ultima_data_relevante";"2026-03-24";"2026-03-27"
"alterado";"derivados_tempo";"964938";"1-1989254";"ultima_data_relevante";"2025-06-18";"2026-02-09"
"alterado";"derivados_tempo";"964940";"1-1986076";"ultima_data_relevante";"2025-10-15";"2025-11-16"
"alterado";"derivados_tempo";"964945";"1-1991950";"ultima_data_relevante";"2025-10-28";"2026-03-25"
"alterado";"derivados_tempo";"964962";"1-1984701";"ultima_data_relevante";"2025-04-10";"2025-12-29"
"alterado";"derivados_tempo";"964975";"1-1984269";"ultima_data_relevante";"2025-07-28";"2025-11-28"
"alterado";"derivados_tempo";"964976";"1-1984954";"ultima_data_relevante";"2024-12-05";"2026-03-06"
"alterado";"derivados_tempo";"964982";"1-1984491";"ultima_data_relevante";"2025-02-24";"2025-12-13"
"alterado";"derivados_tempo";"965251";"1-1990914";"ultima_data_relevante";"2026-01-13";"2026-03-17"
"alterado";"derivados_tempo";"965406";"1-1983067";"ultima_data_relevante";"2025-04-10";"2026-03-04"
"alterado";"derivados_tempo";"965720";"1-1989895";"ultima_data_relevante";"2026-01-15";"2026-03-04"
"alterado";"derivados_tempo";"965728";"1-1990328";"ultima_data_relevante";"2025-06-25";"2025-06-27"
"alterado";"derivados_tempo";"965732";"1-1991771";"ultima_data_relevante";"2024-05-21";"2025-12-17"
"alterado";"derivados_tempo";"965735";"1-1990840";"status_pub_licitacao";"Próximos 30 dias";"Vencida"
"alterado";"derivados_tempo";"965738";"1-1992049";"ultima_data_relevante";"2025-10-28";"2026-03-13"
"alterado";"derivados_tempo";"966000";"1-1989052";"ultima_data_relevante";"2025-09-01";"2025-09-11"
"alterado";"derivados_tempo";"966002";"1-1990858";"ultima_data_relevante";"2024-08-01";"2025-03-11"
"alterado";"derivados_tempo";"966018";"1-1983882";"ultima_data_relevante";"2025-12-22";"2026-03-09"
"alterado";"derivados_tempo";"966550";"1-1991179";"ultima_data_relevante";"2024-03-21";"2025-07-16"
"alterado";"derivados_tempo";"966553";"1-1984398";"ultima_data_relevante";"2024-04-04";"2024-09-24"
"alterado";"derivados_tempo";"966607";"1-1991514";"ultima_data_relevante";"2026-01-22";"2026-03-23"
"alterado";"derivados_tempo";"966608";"1-1991922";"ultima_data_relevante";"2024-12-26";"2026-01-16"
"alterado";"derivados_tempo";"966713";"1-1991053";"ultima_data_relevante";"2025-12-12";"2026-01-29"
"alterado";"derivados_tempo";"966995";"1-1991434";"ultima_data_relevante";"2025-11-07";"2025-11-24"
"alterado";"derivados_tempo";"967085";"1-1991232";"ultima_data_relevante";"2025-12-22";"2026-01-29"
"alterado";"derivados_tempo";"967088";"1-1991511";"ultima_data_relevante";"2025-12-04";"2026-01-27"
"alterado";"derivados_tempo";"967102";"1-1991556";"ultima_data_relevante";"2025-08-25";"2025-10-07"
"alterado";"derivados_tempo";"967152";"1-1994782";"status_pub_licitacao";"Próximos 30 dias";"Vencida"
"alterado";"derivados_tempo";"967589";"1-1987280";"ultima_data_relevante";"2026-02-26";"2026-03-09"
"alterado";"derivados_tempo";"967591";"1-1986719";"ultima_data_relevante";"2025-10-01";"2025-11-18"
"alterado";"derivados_tempo";"967593";"1-1988485";"ultima_data_relevante";"2025-11-26";"2026-01-23"
"alterado";"derivados_tempo";"967599";"1-1992097";"ultima_data_relevante";"2024-11-28";"2025-08-21"
"alterado";"derivados_tempo";"967604";"1-1990163";"ultima_data_relevante";"2025-10-02";"2025-12-17"
"alterado";"derivados_tempo";"967610";"1-1991449";"ultima_data_relevante";"2025-12-09";"2025-12-16"
"alterado";"derivados_tempo";"968221";"1-2011179";"ultima_data_relevante";"2025-04-09";"2025-11-26"
"alterado";"derivados_tempo";"968250";"1-2012809";"ultima_data_relevante";"2025-06-18";"2026-03-18"
"alterado";"derivados_tempo";"968339";"1-2016021";"ultima_data_relevante";"2025-05-14";"2026-03-27"
"alterado";"derivados_tempo";"968343";"1-2016344";"ultima_data_relevante";"2024-12-09";"2025-08-18"
"alterado";"derivados_tempo";"968354";"1-2011492";"ultima_data_relevante";"2025-01-30";"2025-12-09"
"alterado";"derivados_tempo";"968368";"1-2016858";"ultima_data_relevante";"2025-06-27";"2026-03-11"
"alterado";"derivados_tempo";"968369";"1-2014318";"ultima_data_relevante";"2025-02-26";"2025-12-04"
"alterado";"derivados_tempo";"968395";"1-2016714";"ultima_data_relevante";"2024-12-26";"2026-04-02"
"alterado";"derivados_tempo";"968550";"1-2016334";"ultima_data_relevante";"2024-12-19";"2026-02-24"
"alterado";"derivados_tempo";"968554";"1-2015672";"ultima_data_relevante";"2025-05-02";"2026-01-29"
"alterado";"derivados_tempo";"968577";"1-2012396";"ultima_data_relevante";"2025-08-16";"2025-09-09"
"alterado";"derivados_tempo";"968584";"1-2014419";"ultima_data_relevante";"2025-05-07";"2026-03-12"
"alterado";"derivados_tempo";"968593";"1-2017462";"ultima_data_relevante";"2025-08-30";"2025-11-24"
